#Original Added TAGs
BEE = "countries/Brega.txt"
BGM = "countries/Bergamo.txt"
BGO	= "countries/Bornego.txt"
BGR = "countries/Bigorre.txt"
BGS	= "countries/BmRegensburg.txt"
BGU	= "countries/Belgium.txt"
BGX	= "countries/Burgau.txt"
BHH	= "countries/Buchhorn.txt"
BHN = "countries/Brehna.txt"
BJA = "countries/Baja.txt"
BKX	= "countries/Blankenburg.txt"
BKY = "countries/Biscay.txt"
BLG	= "countries/Bologna.txt"
BLH = "countries/Blahnita.txt"
BLL = "countries/Bouillon.txt"
BLR = "countries/Belarus.txt"
BLU = "countries/Belluno.txt"
BMB	= "countries/BmBasel.txt"
BME	= "countries/BMeissen.txt"
BMK	= "countries/BmKonstanz.txt"
BML	= "countries/BmLubeck.txt"
BMM	= "countries/BmMetz.txt"
BMS	= "countries/BmSpeyer.txt"
BMT	= "countries/BmToul.txt"
BMV	= "countries/BmVerdun.txt"
BNA = "countries/Branach.txt"
BNB = "countries/BeniAbbas.txt"
BNE	= "countries/Benevento.txt"
BNN = "countries/Boireann.txt"
BNT	= "countries/Bentheim.txt"
BNZ = "countries/Burnaz.txt"
BOB = "countries/Bobbio.txt"
BOO = "countries/Bolohoveni.txt"
BPF	= "countries/Bopfingen.txt"
BPP = "countries/Boppard.txt"
BRC = "countries/Barcelona.txt"
BRD	= "countries/Breda.txt"
BRF = "countries/Breiene.txt"
BRG	= "countries/Berg.txt"
BRK = "countries/Brecon.txt"
BRN	= "countries/Bern.txt"
BRS = "countries/Borsod.txt"
BRY = "countries/Briey.txt"
BSC	= "countries/Besancon.txt"
BSL	= "countries/Basel.txt"
BSS = "countries/Bresse.txt"
BTA = "countries/Barta.txt"
BTG	= "countries/Berchtesgaden.txt"
BTH	= "countries/Barth.txt"
BTY = "countries/Berestye.txt"
BUC	= "countries/Buchau.txt"
BUH = "countries/Butenheim.txt"
BUI = "countries/Builth.txt"
BWX	= "countries/BmSchwerin.txt"
BXI	= "countries/Brixen.txt"
BYT	= "countries/Bytom.txt"
BZG = "countries/Baragan.txt"
BZT = "countries/Bizerte.txt"
CBL = "countries/Crebilly.txt"
CBR = "countries/Coimbra.txt"
CBY = "countries/Clandeboye.txt"
CCL = "countries/CorcuLoigde.txt"
CCR = "countries/KingdomofCordoba.txt"
CCS = "countries/Carcassonne.txt"
CCU = "countries/Clancullen.txt"
CDE = "countries/Ceredigion.txt"
CDR = "countries/Codru.txt"
CDY = "countries/Cerdanya.txt"
CDZ = "countries/Colditz.txt"
CEA = "countries/Ceangai.txt"
CES	= "countries/Cesena.txt"
CGL = "countries/Cagliari.txt"
CGR = "countries/KingdomofGranada.txt"
CHB = "countries/Chairbre.txt"
CIE	= "countries/Cieszyn.txt"
CJK = "countries/Cuijk.txt"
CKL = "countries/Ceklis.txt"
CLB = "countries/Calenberg.txt"
CLI	= "countries/Cilli.txt"
CLW = "countries/Calw.txt"
CMA = "countries/Cremona.txt"
CMB	= "countries/Cambrai.txt"
CMC = "countries/Commercy.txt"
CMG = "countries/Chiemgau.txt"
CMM	= "countries/Cammin.txt"
CMN = "countries/Cumani.txt"
CMO = "countries/Como.txt"
CMR	= "countries/Camerino.txt"
CMU = "countries/KingdomofMurcia.txt"
CNY = "countries/Chiny.txt"
COA = "countries/Carmona.txt"
COE = "countries/Colle.txt"
COV = "countries/Craiova.txt"
CPG	= "countries/Carpegna.txt"
CPU	= "countries/Capua.txt"
CRD = "countries/Cordoba.txt"
CRK = "countries/Cork.txt"
CRM = "countries/Crema.txt"
CRV	= "countries/Corvey.txt"
CSC = "countries/Cherasco.txt"
CSE = "countries/KingdomofSevilla.txt"
CST = "countries/Castello.txt"
CTH	= "countries/Carinthia.txt"
CTL = "countries/KingdomofToledo.txt"
CTS = "countries/Chartes.txt"
CTY = "countries/Calatayud.txt"
CUE = "countries/Cuneo.txt"
CVA	= "countries/Ceva.txt"
CVL = "countries/Clavesana.txt"
CYB	= "countries/CityBremen.txt"
DBE = "countries/Doube.txt"
DBL = "countries/Dublin.txt"
DDD = "countries/Dannenberg.txt"
DGO = "countries/Dorogobuzh.txt"
DGS = "countries/Dagsburg.txt"
DHN	= "countries/Dohna.txt"
DIE	= "countries/Worms.txt"
DIX	= "countries/DixJuridictions.txt"
DKG = "countries/Dukagjini.txt"
DKJ = "countries/DonjiKraji.txt"
DKL	= "countries/Dinkelsbuhl.txt"
DLL = "countries/Dillingen.txt"
DLM = "countries/Dalmatia.txt"
DLT = "countries/Deltuva.txt"
DMD	= "countries/Dortmund.txt"
DMH	= "countries/Delmenhorst.txt"
DNA = "countries/Denia.txt"
DNN = "countries/Dunantul.txt"
DNO = "countries/Dunois.txt"
DNV = "countries/Dainava.txt"
DOL	= "countries/Dolceacqua.txt"
DPE = "countries/Depenau.txt"
DPH	= "countries/Diepholz.txt"
DRD = "countries/Dresden.txt"
DRN = "countries/Durne.txt"
DRX = "countries/Dreux.txt"
DRZ = "countries/Durazzo.txt"
DSD = "countries/Darmstadt.txt"
DSS = "countries/Dassel.txt"
DTT	= "countries/Dithmarschen.txt"
DUI = "countries/Duisburg.txt"
DWN = "countries/Dewin.txt"
DXS	= "countries/Disentis.txt"
DZK = "countries/Dzukia.txt"
EAH	= "countries/AustriaHungary.txt"
EBE	= "countries/Eberstein.txt"
EBG	= "countries/Engelberg.txt"
EBX	= "countries/Erbach.txt"
ECH	= "countries/Eichstatt.txt"
EGE = "countries/Eger.txt"
EGH	= "countries/Enghien.txt"
EIL = "countries/Eile.txt"
ELF = "countries/Elfael.txt"
ELL	= "countries/Ellwangen.txt"
EMP = "countries/Empuries.txt"
ESC = "countries/Eschenlohe.txt"
ESG = "countries/Emsigerland.txt"
ETL = "countries/Ernestinischelande.txt"
EUU = "countries/Eu.txt"
EVE	= "countries/Everstein.txt"
EXS	= "countries/Esslingen.txt"
FAE	= "countries/Faenza.txt"
FAS = "countries/Fagaras.txt"
FBG	= "countries/Friedberg.txt"
FBO	= "countries/Fribourg.txt"
FBR = "countries/Fabriano.txt"
FCH = "countries/UiFiachrach.txt"
FCL = "countries/Forcalquier.txt"
FCM = "countries/FrancheComte.txt"
FDG = "countries/Federgo.txt"
FDX	= "countries/Fulda.txt"
FFE = "countries/Fife.txt"
FGA = "countries/Foggia.txt"
FGN = "countries/Frignano.txt"
FGO	= "countries/Fivelgo.txt"
FHM = "countries/FhearMai.txt"
FIU	= "countries/Fiume.txt"
FKE = "countries/Francia.txt"
FKN	= "countries/Franconia.txt"
FKS	= "countries/Falkenstein.txt"
FLG = "countries/Foligno.txt"
FLY = "countries/UiFailghe.txt"
FMA = "countries/Fermanagh.txt"
FMO	= "countries/Fermo.txt"
FNB	= "countries/Furstenberg.txt"
FNN	= "countries/Finstingen.txt"
FNO	= "countries/Fano.txt"
FRC = "countries/FrankishEmpire.txt"
FRL	= "countries/Forli.txt"
FRZ	= "countries/Forez.txt"
FSO = "countries/Fossano.txt"
FSS	= "countries/Fossombrone.txt"
FWS = "countries/Fews.txt"
FXI	= "countries/Freising.txt"
FXK	= "countries/Fleckenstein.txt"
FZU = "countries/Fiorenzuola.txt"
GAE	= "countries/Gaeta.txt"
GBB = "countries/Gubbio.txt"
GBU = "countries/Grubenhagen.txt"
GCH	= "countries/Gleichen.txt"
GDG = "countries/Goldegg.txt"
GDX = "countries/Guadix.txt"
GEH	= "countries/Gelnhausen.txt"
GEV = "countries/Gevaudan.txt"
GGB = "countries/Gengenbach.txt"
GGN = "countries/Gargano.txt"
GIE	= "countries/Giengen.txt"
GJR = "countries/Gjirokaster.txt"
GLA	= "countries/Glarus.txt"
GLD = "countries/Galinda.txt"
GLG	= "countries/Glogow.txt"
GLL = "countries/Gallura.txt"
GLM = "countries/Glamorgan.txt"
GLN = "countries/Gailenga.txt"
GLS = "countries/Gleichenstein.txt"
GMU	= "countries/Gmund.txt"
GNF	= "countries/Genf.txt"
GNV = "countries/Geneva.txt"
GOW = "countries/Gower.txt"
GRX	= "countries/Grise.txt"
GRZ	= "countries/Gorizia.txt"
GOS	= "countries/Goslar.txt"
GSS = "countries/Grosseto.txt"
GST	= "countries/Guastalla.txt"
GTT	= "countries/Gottingen.txt"
GTZ = "countries/Gutenzell.txt"
GUI = "countries/Vermandois.txt"
GWY = "countries/Gwynedd.txt"
HAA	= "countries/Haag.txt"
HBC = "countries/Harbach.txt"
HBD	= "countries/Halberstadt.txt"
HBE = "countries/Hausberge.txt"
HBN	= "countries/Heilbronn.txt"
HCK = "countries/Huckeswagen.txt"
HDS	= "countries/Hildesheim.txt"
HEI = "countries/Heiligenberg.txt"
HEL	= "countries/Helfenstein.txt"
HGA	= "countries/Hagenau.txt"
HGF	= "countries/HagenauFree.txt"
HGO	= "countries/Hunsigo.txt"
HHB	= "countries/Hohenberg.txt"
HHH	= "countries/Hachberg.txt"
HHN	= "countries/Hohnstein.txt"
HIG = "countries/Hirschberg.txt"
HLL	= "countries/Hall.txt"
HLM	= "countries/Hohenlimburg.txt"
HLS = "countries/Hals.txt"
HLX	= "countries/Harlingerland.txt"
HMA = "countries/Himara.txt"
HMB = "countries/Homburg.txt"
HNU	= "countries/Hanau.txt"
HOO	= "countries/Hohenlohe.txt"
HOR	= "countries/Hoorn.txt"
HOY	= "countries/Hoya.txt"
HRB = "countries/Hornberg.txt"
HRZ = "countries/Hum.txt"
HVB	= "countries/Havelberg.txt"
HWN	= "countries/Howen.txt"
HXB = "countries/Horburg.txt"
HZS	= "countries/Sigmaringen.txt"
IAB = "countries/IarBriefne.txt"
IAS = "countries/Iasi.txt"
ICA	= "countries/Incisa.txt"
ICN = "countries/IorConnacht.txt"
IFQ = "countries/Ifriqiya.txt"
ILE = "countries/Islay.txt"
IMO	= "countries/Imola.txt"
ING	= "countries/Ingolstadt.txt"
INH = "countries/InisEoghain.txt"
INN = "countries/Inntal.txt"
ISE	= "countries/Isenburg.txt"
ISN	= "countries/Isny.txt"
IVE = "countries/Iveagh.txt"
IVR = "countries/Ivrea.txt"
JAE = "countries/Jaen.txt"
JCH	= "countries/Julich.txt"
JES = "countries/Jesi.txt"
JRC = "countries/Jerica.txt"
JRK = "countries/Jersika.txt"
JWR	= "countries/Jawor.txt"
KDW = "countries/Kidwelly.txt"
KEE = "countries/Keenaght.txt"
KGG = "countries/Konigsegg.txt"
KGZ	= "countries/Hohengeroldseck.txt"
KHR	= "countries/Chur.txt"
KIL	= "countries/Kiel.txt"
KKN = "countries/Koknese.txt"
KKU = "countries/Kuku.txt"
KLG = "countries/Klingenberg.txt"
KLL	= "countries/Castell.txt"
KLY = "countries/Kiralyfold.txt"
KMM = "countries/Comminges.txt"
KMR	= "countries/Colmar.txt"
KNV = "countries/Kernev.txt"
KNZ	= "countries/Konstanz.txt"
KOF	= "countries/CologneFree.txt"
KOI = "countries/Mann.txt"
KPF	= "countries/KemptenFree.txt"
KPT	= "countries/Kempten.txt"
KRJ = "countries/Krivaja.txt"
KRN = "countries/Kran.txt"
KRR	= "countries/Krain.txt"
KRV = "countries/Karvuna.txt"
KSI = "countries/Karesi.txt"
KST = "countries/Kastrioti.txt"
KSV = "countries/Kosovo.txt"
KSW = "countries/Kaiserswerth.txt"
KSZ = "countries/Kalisz.txt"
KUF	= "countries/Kaufbeuren.txt"
KUI = "countries/Kuilenburg.txt"
KUJ = "countries/Kujavia.txt"
KUS = "countries/Kursi.txt"
KVA = "countries/Karsovia.txt"
KVR = "countries/Kevernburg.txt"
KXR	= "countries/Kirchberg.txt"
LAD = "countries/Ladik.txt"
LBD = "countries/Lobdeburg.txt"
LBG	= "countries/Limburg.txt"
LBO = "countries/Lesbos.txt"
LBV = "countries/LombardyVenetia.txt"
LCH = "countries/Luachra.txt"
LCN = "countries/Lecan.txt"
LDI = "countries/Lodi.txt"
LAE = "countries/LatinEmpire.txt"
LER = "countries/Lerida.txt"
LFB = "countries/Laufenburg.txt"
LFF = "countries/Lauffen.txt"
LGL	= "countries/Lengenerland.txt"
LGM = "countries/Lechsgemund.txt"
LGO = "countries/Loigis.txt"
LGU = "countries/Logudoro.txt"
LGV = "countries/Roussillon.txt"
LII = "countries/Linoni.txt"
LKK	= "countries/Leutkirch.txt"
LKR	= "countries/Lucerne.txt"
LMA = "countries/Lamarche.txt"
LMO = "countries/Limoges.txt"
LMP	= "countries/Limpurg.txt"
LMT = "countries/Lamata.txt"
LNE = "countries/Leoniz.txt"
LNN	= "countries/Legnica.txt"
LNU	= "countries/Lindau.txt"
LOE = "countries/Leonburg.txt"
LOI = "countries/Glynnes.txt"
LOO = "countries/Loon.txt"
LPF	= "countries/Lupfen.txt"
LPP	= "countries/Lippe.txt"
LPT = "countries/Lepanto.txt"
LRC = "countries/Lorca.txt"
LRG = "countries/Luirg.txt"
LRN = "countries/Larino.txt"
LSH	= "countries/Landshut.txt"
LSK = "countries/Lutsk.txt"
LSN = "countries/Lausanne.txt"
SOR	= "countries/Lausitz.txt"
LSX	= "countries/Leichtenstein.txt"
LTB	= "countries/Lichtenberg.txt"
LTC = "countries/Lutici.txt"
LOT	= "countries/Lotharingia.txt"
LTT = "countries/Lettigalia.txt"
LUU = "countries/Luchow.txt"
LUV = "countries/Lietuva.txt"
LUZ	= "countries/Lutzelstein.txt"
LVC = "countries/Lovech.txt"
LVI = "countries/Lovistea.txt"
LWS	= "countries/Lowenstein.txt"
LXU	= "countries/Luxeuil.txt"
LYO	= "countries/Lyon.txt"
LZO = "countries/Latium.txt"
LZZ = "countries/Liezizi.txt"
MAF = "countries/Galloway.txt"
MBC	= "countries/Murbach.txt"
MBK = "countries/Mosbach.txt"
MCE	= "countries/Macerata.txt"
MCM = "countries/Mumu.txt"
MCO	= "countries/Monaco.txt"
MDS	= "countries/Manderscheid.txt"
MBZ	= "countries/Bregenz.txt"
MFX	= "countries/Mansfeld.txt"
MGF = "countries/Yugoslavia.txt"
MGG = "countries/Malaga.txt"
MGL = "countries/MaghLuirg.txt"
MII = "countries/Misia.txt"
MLN = "countries/Molina.txt"
MMB	= "countries/Merseburg.txt"
MNE = "countries/Maine.txt"
MNM = "countries/Monmouth.txt"
MNR = "countries/Menorca.txt"
MNT = "countries/Muntenia.txt"
MOB = "countries/Moosburg.txt"
MOM	= "countries/Mompelgard.txt"
MOO = "countries/Moormerland.txt"
MRN = "countries/Moron.txt"
MRS	= "countries/Moers.txt"
MRV	= "countries/Moravia.txt"
MSK	= "countries/Minsk.txt"
MSM = "countries/MassaMarittima.txt"
MSS	= "countries/Masserano.txt"
MTL = "countries/Martulah.txt"
MTP = "countries/Montepulciano.txt"
MTZ	= "countries/Metz.txt"
MUA	= "countries/MulhausenAlsace.txt"
MUF	= "countries/MunsterFree.txt"
MUT	= "countries/MulhausenThuringia.txt"
MUZ = "countries/Munzenberg.txt"
MXD = "countries/Macedonia.txt"
MXX	= "countries/Massa.txt"
MYU = "countries/Mayurqa.txt"
MZZ = "countries/Murizzi.txt"
NBG = "countries/Neuburg.txt"
NCH	= "countries/Neuchatel.txt"
NDD	= "countries/Nidda.txt"
NDR = "countries/Nadrauwa.txt"
NDW	= "countries/Nidwalden.txt"
NEM = "countries/Nemours.txt"
NGC	= "countries/NorthGermanConfederation.txt"
NGD = "countries/Nograd.txt"
NGF	= "countries/Leuchtenberg.txt"
NGR = "countries/Negroponte.txt"
NIC	= "countries/Nice.txt"
NIE = "countries/Niebla.txt"
NKA = "countries/Nikaia.txt"
NLA	= "countries/Novellara.txt"
NLI	= "countries/Noli.txt"
NLS = "countries/Nalsia.txt"
NLX	= "countries/Nellenburg.txt"
NMR	= "countries/Namur.txt"
NMU	= "countries/Naumburg.txt"
NMY	= "countries/Namyslow.txt"
NNH	= "countries/Neuenahr.txt"
NNN	= "countries/Henneburg.txt"
NNT = "countries/Naoned.txt"
NOA	= "countries/Nordhausen.txt"
NOI	= "countries/Nordlingen.txt"
NRB = "countries/Narbonne.txt"
NRD = "countries/Norderland.txt"
NRS = "countries/Neris.txt"
NRV	= "countries/NorthRavensberg.txt"
NTG = "countries/Notangi.txt"
NUO	= "countries/Nurnberg.txt"
NYS	= "countries/Nysa.txt"
OCH	= "countries/Ochsenhausen.txt"
OET	= "countries/Oettingen.txt"
OFF	= "countries/Offenburg.txt"
OGO	= "countries/Ostergo.txt"
OHI = "countries/Orihuela.txt"
OIE = "countries/Oriel.txt"
OLS	= "countries/Olesnica.txt"
OLT = "countries/Oltenia.txt"
OSN	= "countries/Osnabruck.txt"
ONE	= "countries/Oneglia.txt"
ONT = "countries/Onut.txt"
ONU = "countries/Onutului.txt"
OPO	= "countries/Opole.txt"
ORA	= "countries/Orange.txt"
ORD = "countries/Ormond.txt"
ORT = "countries/Ortenburg.txt"
OSI = "countries/Osimo.txt"
OSS = "countries/Ossory.txt"
OSW	= "countries/Oswiecim.txt"
OTB	= "countries/Ottobeuren.txt"
OVI = "countries/Orvieto.txt"
OXR	= "countries/Orlamunde.txt"
PAA	= "countries/Passau.txt"
PCA = "countries/Portucale.txt"
PCH = "countries/Parchim.txt"
PCZ = "countries/Piacenza.txt"
PDD = "countries/Paguddi.txt"
PAD	= "countries/Paderborn.txt"
PET = "countries/Petershausen.txt"
PFE = "countries/Pfeddersheim.txt"
PFU	= "countries/Pfullendorf.txt"
PGD = "countries/Perigord.txt"
PHE = "countries/Peceneks.txt"
PHI = "countries/Philadelphia.txt"
PIE = "countries/Piedmont.txt"
PLK = "countries/Poleksia.txt"
PLM = "countries/Palermo.txt"
PLS = "countries/Pilsotas.txt"
PMD = "countries/Pameddi.txt"
PMK = "countries/Pembroke.txt"
PML = "countries/Pomeralia.txt"
PMR = "countries/Piemare.txt"
PNI = "countries/Petrispanili.txt"
PNK	= "countries/Pinsk.txt"
PNT = "countries/Pentevr.txt"
POB	= "countries/Piombino.txt"
POJ	= "countries/Poljica.txt"
POU = "countries/Poitou.txt"
PPO = "countries/Philippopolis.txt"
PPP	= "countries/Pappenheim.txt"
PRJ = "countries/Primorje.txt"
PRP = "countries/Prilep.txt"
PRT = "countries/Prato.txt"
PRZ = "countries/Deols.txt"
PSH = "countries/Poschiavo.txt"
PSO	= "countries/Pesaro.txt"
PSS = "countries/Plesse.txt"
PST = "countries/Pistoia.txt"
PTH	= "countries/Pruthenia.txt"
PTM = "countries/Pontremoli.txt"
PTR	= "countries/Pietramala.txt"
PUM	= "countries/Prum.txt"
PVA = "countries/Pavia.txt"
PWF = "countries/PowysFadog.txt"
PDV	= "countries/Padua.txt"
PYR	= "countries/Pyrmont.txt"
PYS = "countries/Powys.txt"
QDL = "countries/Quedlinburg.txt"
QRT = "countries/Querfurt.txt"
RAP	= "countries/Rappolstein.txt"
RCB	= "countries/Raciborz.txt"
RDZ = "countries/Rodez.txt"
REE = "countries/Reims.txt"
REI = "countries/Rheingraviate.txt"
REU	= "countries/Reutlingen.txt"
RBB	= "countries/Regensburg.txt"
RGO	= "countries/Reggio.txt"
RGS = "countries/Rigastadt.txt"
RHD = "countries/Rheiderland.txt"
RHI = "countries/Rheinland.txt"
RIB = "countries/Ribagorza.txt"
RII = "countries/Riaciani.txt"
RMG	= "countries/Romagna.txt"
RMI	= "countries/Rimini.txt"
RND = "countries/Ronda.txt"
RNK	= "countries/Rieneck.txt"
ROE	= "countries/Rothenburg.txt"
ROI = "countries/Romani.txt"
ROT	= "countries/Rottenmunster.txt"
RUP	= "countries/Ruppin.txt"
RSB	= "countries/Rendsburg.txt"
RSH	= "countries/Rosheim.txt"
RST = "countries/Rostock.txt"
RSZ = "countries/Reszek.txt"
RTG = "countries/Rietberg.txt"
RTL = "countries/Rethel.txt"
RTZ	= "countries/Ratzeburg.txt"
RVE	= "countries/Ravenna.txt"
RVS = "countries/Ravenstein.txt"
RWI	= "countries/Rottweil.txt"
RYL	= "countries/Ricklingen.txt"
RYS	= "countries/Rustringen.txt"
SAA = "countries/Salona.txt"
SAB = "countries/Saarbrucken.txt"
SAM	= "countries/Sambia.txt"
SAU	= "countries/Straubing.txt"
SBB	= "countries/Schonburg.txt"
SBL = "countries/SaintBlaise.txt"
SCH	= "countries/Schwyz.txt"
SCR = "countries/Scuria.txt"
SCW	= "countries/Scinawa.txt"
SCY = "countries/Strathclyde.txt"
SDE = "countries/Stade.txt"
SDL = "countries/Stendal.txt"
SDT	= "countries/Schlettstadt.txt"
SDZ = "countries/Malopolska.txt"
SEG	= "countries/Schaumberg.txt"
SEO = "countries/Selonia.txt"
STE	= "countries/Stettin.txt"
SEV = "countries/Sevilla.txt"
SFF = "countries/Schaffhausen.txt"
SGA	= "countries/Sundgau.txt"
SGB	= "countries/Spiegelberg.txt"
SGC	= "countries/SouthGermanConfederation.txt"
SGS = "countries/Sargans.txt"
SGT = "countries/Stuttgart.txt"
SGX	= "countries/Stargard.txt"
SHK = "countries/Schelklingen.txt"
SHT	= "countries/Heideck.txt"
SIA = "countries/Sofia.txt"
SIR = "countries/Sieradz.txt"
SIV = "countries/Silves.txt"
SKL = "countries/Skallawa.txt"
SKN = "countries/Skane.txt"
SKR = "countries/Sancerre.txt"
SKS	= "countries/Slutsk.txt"
SLB = "countries/Schwalenberg.txt"
SLM	= "countries/Salm.txt"
SLR = "countries/Salerno.txt"
SLS	= "countries/Solms.txt"
SLV	= "countries/Slovenia.txt"
SLX	= "countries/Solothurn.txt"
SMB	= "countries/Schaumburg.txt"
SMG	= "countries/Senigallia.txt"
SMM	= "countries/StabloMalmedy.txt"
SMT = "countries/SanMiniato.txt"
SMX	= "countries/SanMarino.txt"
SNA = "countries/Sarsina.txt"
SNC	= "countries/Swidnica.txt"
SNI = "countries/Sasni.txt"
SNO	= "countries/SantaFiora.txt"
SOE	= "countries/Soest.txt"
SOU = "countries/Soule.txt"
SOV	= "countries/Sovana.txt"
SPH	= "countries/Sponheim.txt"
SPR = "countries/Sprevani.txt"
SPL	= "countries/Spoleto.txt"
SPY	= "countries/Speyer.txt"
SRR	= "countries/Schussenried.txt"
SRT = "countries/Sorrento.txt"
SSF	= "countries/Strassburg.txt"
SSN = "countries/Strasinetului.txt"
SSS	= "countries/BmStrassburg.txt"
STC = "countries/SetteComuni.txt"
STF	= "countries/Steinfurt.txt"
RUG = "countries/Stralsund.txt"
STN = "countries/Shantarin.txt"
STP	= "countries/Stolp.txt"
STT	= "countries/Sitten.txt"
STX	= "countries/StGallen.txt"
SUZ = "countries/Sulz.txt"
SVA = "countries/Slavonia.txt"
SVE = "countries/Severin.txt"
SVG = "countries/Slesvig.txt"
SVO	= "countries/Savona.txt"
SVV	= "countries/SanSeverino.txt"
SWB	= "countries/SwissBaden.txt"
SWG	= "countries/SaxonWaldburg.txt"
SWR = "countries/Saarwerden.txt"
SWW	= "countries/Schweinfurt.txt"
SWX	= "countries/Schwerin.txt"
SXM	= "countries/Simmern.txt"
SXT	= "countries/Stolberg.txt"
SYC = "countries/Syracusa.txt"
SYM = "countries/Syrmia.txt"
SZA = "countries/Salza.txt"
SZK = "countries/Szekelyfold.txt"
SZO	= "countries/Saluzzo.txt"
SZZ	= "countries/Schwarzburg.txt"
TBE = "countries/Tethbae.txt"
TBG = "countries/Triberg.txt"
TCK	= "countries/Tecklenburg.txt"
TDZ = "countries/Tredozio.txt"
TFW	= "countries/Lebus.txt"
TGG	= "countries/Toggenburg.txt"
THO	= "countries/Thorn.txt"
TKN = "countries/Ticino.txt"
TLD = "countries/Toledo.txt"
TNC = "countries/Trinacria.txt"
TNN	= "countries/Tonna.txt"
TNR = "countries/Tonnerre.txt"
TNS = "countries/Tinos.txt"
TOF	= "countries/BmWorms.txt"
TOL	= "countries/Toul.txt"
TOX	= "countries/Thurgau.txt"
TPN = "countries/Trapani.txt"
TNT	= "countries/Trent.txt"
TRO	= "countries/Troppau.txt"
TRV = "countries/Treviso.txt"
TRY = "countries/Tyrconnell.txt"
TSA = "countries/Thassos.txt"
TSL	= "countries/Terschelling.txt"
TSS = "countries/Thessaloniki.txt"
TST	= "countries/Trieste.txt"
TSZ = "countries/Tiszantul.txt"
TTN = "countries/Tortona.txt"
TTO = "countries/Tortosa.txt"
TTS = "countries/Two Sicilies.txt"
TUB = "countries/Tubingen.txt"
TUC = "countries/TulachOg.txt"
TUG	= "countries/Truhendingen.txt"
TUV	= "countries/Turov.txt"
TVS = "countries/Tavas.txt"
TXC	= "countries/Teck.txt"
TYH = "countries/TeallachEathach.txt"
UIB = "countries/UiBairrche.txt"
UID = "countries/UiDiarmata.txt"
UIL = "countries/UiLiathain.txt"
UIS = "countries/Uisnech.txt"
UKN = "countries/Ukrani.txt"
ULL	= "countries/Uberlingen.txt"
UMA = "countries/UiMaine.txt"
UML = "countries/Umaill.txt"
UNC	= "countries/Heinsberg.txt"
UNG = "countries/Ung.txt"
UPA = "countries/UpperPalatinate.txt"
UPN = "countries/Unspunnen.txt"
UPY = "countries/Upyte.txt"
URC = "countries/Urach.txt"
URG = "countries/Urgell.txt"
URI	= "countries/Uri.txt"
USR = "countries/Usora.txt"
UUS	= "countries/Sausenburg.txt"
VAI = "countries/Vaihingen.txt"
AVL = "countries/KingdomofValencia.txt"
VCZ = "countries/Vicenza.txt"
VDD	= "countries/Verdun.txt"
VDM	= "countries/Vaudemont.txt"
VDN = "countries/Vidin.txt"
VDX	= "countries/Vaud.txt"
VEF = "countries/VerdenFree.txt"
VGT	= "countries/Vogtland.txt"
VHN	= "countries/Volhynia.txt"
VIV	= "countries/Viviers.txt"
VLD	= "countries/Veldenz.txt"
VLH = "countries/Vlahia.txt"
